"","Estimate","Std. Error","z value","Pr(>|z|)","variable","nagelkerke"
"(Intercept)",-0.100009564874744,0.183687125768217,-0.544456038802306,0.586127692104698,"NBR_2018_2024_NBR_Q2_primavera_min",0.0141900933438602
"NBR_2018_2024_NBR_Q2_primavera_min",1.86568741055979,1.49599902392176,1.24711806674104,0.212354209348301,"NBR_2018_2024_NBR_Q2_primavera_min",0.0141900933438602
