"","Estimate","Std. Error","z value","Pr(>|z|)","variable","nagelkerke"
"(Intercept)",-0.491400487797793,0.503960364331144,-0.975077650104448,0.329521744058933,"NDWI_2018_2024_NDWI_Q4_otono_mean",0.00963869417755333
"NDWI_2018_2024_NDWI_Q4_otono_mean",-1.20591176112976,1.16856225339071,-1.03196193239229,0.302089951026397,"NDWI_2018_2024_NDWI_Q4_otono_mean",0.00963869417755333
