"","Estimate","Std. Error","z value","Pr(>|z|)","variable","nagelkerke"
"(Intercept)",0.291952179784625,0.324777758784859,0.898929104249474,0.368690424435703,"NDII_2018_2024_NDII_Q1_invierno_max",0.00985439674338714
"NDII_2018_2024_NDII_Q1_invierno_max",-1.33288060184747,1.27954569911957,-1.04168268688223,0.297558818429485,"NDII_2018_2024_NDII_Q1_invierno_max",0.00985439674338714
