"","Estimate","Std. Error","z value","Pr(>|z|)","variable","nagelkerke"
"(Intercept)",-12.7609357506983,10.2407054336585,-1.24609928811705,0.212727946159128,"REP_2018_2024_REP_Q3_verano_mean",0.0162008582367014
"REP_2018_2024_REP_Q3_verano_mean",0.0180153063533346,0.0144524951410802,1.24651876215667,0.212574005499934,"REP_2018_2024_REP_Q3_verano_mean",0.0162008582367014
