"","Estimate","Std. Error","z value","Pr(>|z|)","variable","nagelkerke"
"(Intercept)",-0.129994973699328,0.268923701924266,-0.483389797065701,0.628818991292623,"NBR_2018_2024_NBR_Q4_otono_mean",0.00337260823788258
"NBR_2018_2024_NBR_Q4_otono_mean",0.743806694762241,1.21739151733416,0.610983963804042,0.541210196731635,"NBR_2018_2024_NBR_Q4_otono_mean",0.00337260823788258
